تصنيف الشكوى,مضمون الشكوى
مشكله تمنع التخرج,أتمنى من فضيلتكم دخول الامتحان ومراجعة أمري؛ فأنا بالمستوى الرابع وسيتسبب سحب المادة في مشاكل كثيرة، مما يمكن أن يؤدي إلى تأجيل تخرجي في الكلية لعام إضافي على الأقل. أرجو أن لا يتكرر غيابي مجددًا، وكان عدم حضور الامتحان مؤذيًا لي كثيرًا، والمشكلة التي حدثت أثرت علي بشكل كبير في وقت الامتحان النهائي. أتمنى من فضيلتكم شديد الرجاء بالسماح لي بدخول الامتحان بناءً على مراعاتكم لي كابنتكم.
استرجاع مقررات,أنا كنت مريضة وكانت حالتي خطيرة للغاية، ولا زلت مريضة حتى الآن، ولم يكتمل شفائي تمامًا. تعرضت للضغوط بسبب سحب المادة رغم حضوري للكلية بانتظام، ولم أستطع أخذ وقت كافٍ بسبب إعاقتي التي تسببت في اضطرابات في التنفس، وأملك تقريرًا يثبت ذلك.
اخرى,حذف الغياب /حذف ايام الغياب 
اخرى,في الأسبوع الأول كان لدي مشكلة في الجدول الدراسي، وتم تصحيحها، لكنني تأخرت في حضور الصف الثاني وتحولت إلى صف آخر، مما أدى إلى غيابي في يوم 10/4.
مشكله امتحانات,"أرجو منكم إعادة دخول امتحان مادة ""التفكير النقدي""، حيث لم أحضر الامتحان بسبب عدم معرفتي بموعده بسبب سحب المادة واستعادتها، ولقد تحققت من شرط اللائحة بحصولي على أكثر من 60% من أعمال الفصل، حيث حققت 80%، وتم استيفاء شرط ""المادة غير مكتملة"" للمقرر."
استرجاع مقررات,أرجو إعادة المقررات المحذوفة بأسرع وقت ممكن حتى أتمكن من دخول الامتحان.
استرجاع مقررات,"لقد كنت مريضة ومحجوزة في المستشفى، ولهذا السبب تغيبت عن بعض المقررات وليس كلها، وتم سحب مادة ""الاحتمالات 2"" مني، وأرغب في استعادتها، وإذا لم أستطع، فأرغب في استعادتها بشكل غير مكتمل."
اخرى,أنا مقرر لي عملية جراحية ناسور عصعصي تكلف فقط 15000 جنيه، ومع ذلك لم يتم إجراء العملية حتى تتوفر التكاليف، وأنا أعاني من مضاعفات تجعلني غير قادر على الحضور، ولذا أرجو رفع الغياب عني واسترداد المواد المسحوبة.
استرجاع مقررات,اعاده استرجاع
استرجاع مقررات,"أرجو من فضيلتكم رفع الغياب الخاص بي من الفترة من 2022/10/1 إلى 2022/10/31 وإعادة المواد لأتمكن من دخول الامتحانات في مواعيدها ودخول المواد التي لم أتمكن من حضورها في مرحلة ""غير مكتملة""."
استرجاع مقررات,"الغياب الخاص بي في الفترة من 2022/10/1 إلى 2022/10/31 كان بسبب مرضي، وأرفق تقريرًا من المستشفى يثبت ذلك، مما أدى إلى عدم قدرتي على الحضور في الكلية في تلك الفترة، ومما أدى لسحب المواد التالية: ""Big Data - Simulation - Social Networks - Mobile Application""."
استرجاع مقررات,"أرجو إعادة مادة ""Introduction to Computer Systems"" بعد سحبها."
استرجاع مقررات,"أتقدم بطلب شكوى لفضيلتكم لأنه تم سحب مادة ""Introduction to Computer Systems"" مني بعد تغيير عدد من السكاشنات، والتي تغيبت عنها بعد أن قدمت طلب حذف وإضافة لحذف هذه المادة وتسجيل مادة ""Introduction to AI"" بدلاً منها، وكنت ملتزمًا بحضور هذه المادة وعدم تفويت أي جزء منها، متوقعًا أن يتم قبول طلب الحذف والإضافة، لكن لم يتم ذلك، لذا أصبحت أحصر جميع محاضرات وسكاشنات ""Introduction to Computer Systems"" لتعويض ما فاتني، فأرجو من فضيلتكم قبول شكوتي وإعادة مادة ""Introduction to Computer Systems"" بعد سحبها."
مشكله امتحانات,أرجو تحديد موعد آخر للاختبار مع الاحتفاظ بالتقدير.
مشكله امتحانات,"تغيبت يوم امتحان مادة ""Database"" بسبب التواء في قدمي أثناء القدوم للامتحان وعدم قدرتي على المشي والذهاب للمستشفى ورفض شهادة بذلك، لذا أرجو من فضيلتكم قبول اعتذاري عن عدم دخول الامتحان وتحديد موعد آخر لأداء الامتحان."
استرجاع مقررات,"أرغب في رجوع مادة ""Computer Vision"" بعد سحبها للتمكن من دخول الامتحان النهائي للمادة."
استرجاع مقررات,"تحدثت مع عميد الكلية وطلب مني أن أقدم شكوى لكي يتم استرداد المادة وعودة مقرر ""Computer Network"" بسبب سحبها لتجاوز نسبة الغياب، ولكن كنت مريضًا ولم أتمكن من حضور اثنين من السكاشن في شهر 10، وقد قدمت شهادة طبية من مستشفى حكومي لكي أضمن حقي"
مشكله تخص المقررات,بناءً على الشكاوي المذكورة، قمت بإعادة صياغتها بصيغة مختلفة مع تبديل أسماء المقررات الدراسية بعضها ببعض:
مشكله امتحانات,امتحنت امتحان الميد في مادة الرياضيات وتم عقد امتحان إعادة دون علمي، ولم أجرِ الامتحان الثاني على الرغم من أنني أمتحنت الجلسة الأساسية المدرجة في جدول الامتحانات.
مشكله تمنع التخرج,كنت مسجلًا في 11 ساعة فصلية وقدمت طلبًا لزيادة عدد الساعات إلى 18 ساعة، حيث أنني بالمستوى الرابع (ترم تخرج) ويتبقى لي 18 ساعة فقط.
مشكله امتحانات,تم تحديد مكان لجنة ابن الهيثم - طريقة معامل رابعة، وأثناء الامتحان كنت غائبة وانتقل مكان الامتحان إلى طريقة معامل ثالثة، مما أدى إلى حسابي كغائبة في نتيجة الميد تيرم.
مشكله مصاريف,"سجلت مادة ""الحساب التفاضلي والتكاملي المتقدم"" في الصيف الماضي ولم أحضر، ورغم ذلك تم خصم 900 جنيه من حسابي بسبب المصاريف رغم سحبي من المادة."
مشكله امتحانات,"أكملت امتحان مادة ""التفاضل والتكامل"" في لجنة غير التي كان من المفترض أن أختبر فيها، ولم تُسجل درجتي حتى الآن، ويبدو أن ورقة الامتحان لم يتم تصحيحها بشكل صحيح من الأساس."
حذف و اضافه,"طلبت حذف مادة ""الحساب التفاضلي والتكاملي""."
مشاكل النظام (موقع/تسجيل),"أواجه مشكلة في تسجيل ""سكشن"" مادة ""تحليل النظام"" على موقع ابن الهيثم، على الرغم من تسجيلي للمحاضرة والمادة."
مشاكل النظام (موقع/تسجيل),"ليس لدي ""سكشن"" في الجدول لمادة ""الاحتمالات"""
مشكله امتحانات,"لم أتمكن من أداء امتحان ""التفكير النقدي"" بسبب عدم إدراجي في الجدول الزمني."
مشاكل النظام (موقع/تسجيل),"لم يتم تسجيل ""سكشن"" في الجدول الدراسي."
مشكله مصاريف,تم سحب مادتين في الترم الصيفي بسبب مشاكل مالية، وأطلب تخفيض المصاريف بمبلغ 180 جنيهًا.
مشاكل النظام (موقع/تسجيل),لم يتم تحديث GPA بعد ظهور نتيجة التدريب الميداني في الفصل الصيفي على موقع ابن الهيثم.
مشكله مصاريف,"تم خصم 900 جنيه من حساب الفيزا عن ""مادة الحساب التفاضلي والتكاملي المتقدم"" رغم سحبي الرسمي للمادة، ومرفق ورقة رسمية من الكلية تثبت ذلك."
مشكله مصاريف,مديونيتي تبلغ 19500 جنيه بسبب عدم الحصول على تخفيض الأوائل في الترم الثالث وخطأ في تطبيق تخفيض في الترم الخامس، بالإضافة إلى عدد من الغرامات بسبب عدم دفع المديونية.
حذف و اضافه,"لم يتم إضافة مادة ""التدريب الخارجي"" رغم دفعي للمصاريف وحضوري للتدريب واجتيازي الامتحان النهائي له."
مشكله تخص المقررات,"طلبت حذف مادة ""الجورزم"" وإضافة مادة ""التفاضل والتكامل""، ولم تظهر لي نتيجة مادة ""التفاضل والتكامل"" حتى الآن على الرغم من تأكيد الدكتور على عدم تسجيلي فيها."
مشكله درجات ونتائج,"أنهيت 4 مواد من متطلبات الكلية الاختيارية وتم حساب CGPA بشكل غير صحيح بسبب حساب مادة ""الموبايل"" التي لا يجب حسابها في التقدير."
مشاكل النظام (موقع/تسجيل),لم يتم إضافة عدد الساعات الخاصة بي في الترم الأول 2022/2023 كما هو متوقع، حيث يجب أن تكون 54 ساعة بدلاً من 36 ساعة كعدد كلي للساعات.
مشكله درجات ونتائج,لم تحتسب درجة التدريب في الصيف حتى الآن.
فتح مقررات,فتح مقررات
فتح مقررات,"لم يتم فتح معاد آخر لمحاضرة ""السوفت وير"" بسبب تعارضها مع محاضرة ""النتورك""، ولم يتم إضافة موعد آخر للسيكشن."
مشكله تمنع التخرج,"لا أستطيع معرفة تسجيل سكشن ""الريجريشن"" بسبب عدم توفر موعد آخر بسبب محاضرة ""الداتا كومبيتيشن"" وعدم علمي بحذف أي منهما بسبب ترم التخرج"
استرجاع مقررات,"تم سحب مادة ""هندسة البرمجيات"" رغم غيابي مرتين فقط."
مشكله درجات ونتائج,لم تظهر درجة التدريب بالرغم من حضوري وتسجيل اسمي في الحضور.
مشكله درجات ونتائج,"تم قبول تظلمي في مادة ""أوبريتنج سيستم"" ولم يتم تعديل الدرجة على الموقع وال CGPA."
مشكله درجات ونتائج,"تم احتساب سقوطي مرتين في مادة ""الريجريشن"" مما أثر على CGPA."
مشكله درجات ونتائج,يرجى تسجيل درجات اعمال السنة بشكل خاطئ من قبل المعيد، ولم يتم تصحيح النتيجة حتى الآن، وظهرت نتيجة الفاينل.
